('npm:@babel/plugin-transform-literals', '7.10.4')
('npm:regexp.prototype.flags', '1.3.0')
('npm:@jest/core', '~ 26.5.2')
('npm:strip-ansi', '4.0.0')
('npm:focus-lock', '0.9.1')
('npm:@babel/helper-function-name', '7.10.4')
('npm:@babel/compat-data', '7.15.0')
('npm:d3-scale-chromatic', '1.5.0')
('npm:babel-plugin-minify-builtins', '0.5.0')
('npm:p-limit', '3.0.2')
('npm:prettier-linter-helpers', '1.0.0')
('npm:@mdx-js/mdx', '1.6.22')
('npm:react-mde', '11.0.7')
('npm:minipass-collect', '1.0.2')
('npm:jsonpath-plus', '5.0.2')
('npm:babel-jest', '24.9.0')
('npm:@babel/plugin-transform-regenerator', '7.14.5')
('npm:@babel/plugin-proposal-async-generator-functions', '7.16.8')
('npm:domhandler', '4.3.1')
('npm:rst-selector-parser', '2.2.3')
('npm:tr46', '2.0.2')
('npm:@webassemblyjs/ast', '1.11.1')
('npm:os-locale', '3.1.0')
('npm:@types/prismjs', '1.16.1')
('npm:html-tag-names', '1.1.5')
('npm:html-element-map', '1.3.0')
('npm:jest-util', '27.1.0')
('npm:jest-config', '25.5.4')
('npm:@babel/plugin-syntax-top-level-await', '7.14.5')
('npm:domelementtype', '2.0.2')
('npm:@chakra-ui/table', '1.3.1')
('npm:@types/history', '4.7.8')
('npm:react-split-pane', '2.0.3')
('npm:redent', '3.0.0')
('npm:jss-plugin-compose', '10.5.0')
('npm:clean-css', '4.2.3')
('rubygems:jekyll-theme-time-machine', '0.1.1')
('npm:@types/jest-cli', '^ 23.6.0')
('npm:require-directory', '2.1.1')
('npm:@types/execa', '^ 0.9.0')
('npm:nwsapi', '2.2.0')
('npm:eventemitter2', '5.0.1')
('npm:v8-compile-cache', '2.1.1')
('npm:lower-case', '2.0.1')
('npm:@types/react-loadable', '5.5.6')
('npm:globals', '12.4.0')
('npm:run-parallel', '1.2.0')
('npm:fuse.js', '3.6.1')
('npm:is-hexadecimal', '1.0.4')
('npm:jsdom', '16.7.0')
('npm:postcss-colormin', '2.2.2')
('npm:url', '0.11.0')
('npm:pixelmatch', '5.2.1')
