('npm:fd-slicer', '1.0.1')
('npm:d3-path', '1.0.5')
('npm:to-absolute-glob', '0.1.1')
('npm:loader-utils', '1.0.3')
('npm:jsonify', '0.0.0')
('npm:async-each', '1.0.3')
('npm:trim-newlines', '1.0.0')
('npm:babel-core', '6.13.2')
('npm:concat-stream', '1.6.2')
('npm:assertion-error', '1.1.0')
('npm:indexof', '0.0.1')
('npm:vinyl', '1.2.0')
('npm:has-flag', '3.0.0')
('npm:core-js', '2.6.11')
('npm:normalize-package-data', '2.5.0')
('npm:preserve', '0.2.0')
('npm:regenerator-runtime', '0.11.1')
('npm:word-wrap', '1.2.3')
('npm:map-cache', '0.2.2')
('npm:babel-plugin-transform-es2015-parameters', '6.24.1')
('npm:require-main-filename', '1.0.1')
('npm:postcss-reduce-transforms', '1.0.4')
('npm:lodash.keys', '3.1.2')
('npm:is-svg', '2.1.0')
('npm:babel-plugin-transform-es2015-block-scoping', '6.24.1')
('npm:download', '4.4.3')
('npm:base64-js', '0.0.2')
('npm:caniuse-db', '1.0.30000632')
('npm:tapable', '0.2.9')
('npm:yargs-parser', '5.0.0-security.0')
('npm:write', '0.2.1')
('npm:create-ecdh', '4.0.3')
('npm:bops', '0.0.7')
('com.github.Combitech/codefarm', '')
('npm:is-stream', '1.1.0')
('npm:jodid25519', '1.0.2')
('npm:deep-is', '0.1.3')
('npm:micromatch', '3.1.10')
('npm:symbol-observable', '1.0.4')
('npm:babel-helper-optimise-call-expression', '6.24.1')
('npm:cookies', '0.8.0')
('npm:vinyl-assign', '1.2.1')
('npm:elliptic', '6.5.3')
('npm:bson-objectid', '1.1.5')
('npm:minimalistic-crypto-utils', '1.0.1')
('npm:promise', '7.1.1')
('npm:inflate', '0.0.6')
('npm:map-visit', '1.0.0')
('npm:sshpk', '1.16.1')
('npm:react-resize-detector', '0.3.3')
('npm:regexp.prototype.flags', '1.3.0')
('npm:decode-uri-component', '0.2.0')
('npm:async', '2.6.3')
('npm:q', '1.4.1')
('npm:hash.js', '1.0.3')
('npm:lodash.uniq', '4.5.0')
('npm:uglify-js', '2.8.27')
('npm:babel-plugin-transform-async-to-module-method', '6.24.1')
('npm:stream-browserify', '2.0.1')
('npm:css-color-names', '0.0.4')
('npm:babel-plugin-syntax-decorators', '6.13.0')
('npm:fill-range', '2.2.3')
('npm:string-width', '2.0.0')
('npm:normalize-package-data', '2.3.6')
('npm:is-dotfile', '1.0.2')
('npm:postcss-minify-selectors', '2.1.1')
('npm:ext', '1.4.0')
('npm:semver-truncate', '1.1.2')
('npm:core-util-is', '1.0.2')
('npm:ldapjs', '1.0.1')
('npm:thenify-all', '1.6.0')
('npm:string_decoder', '0.10.31')
('npm:define-properties', '1.1.2')
('npm:to-regex-range', '5.0.1')
('npm:readable-stream', '2.2.3')
('npm:babel-plugin-syntax-dynamic-import', '6.18.0')
('npm:decompress', '3.0.0')
('npm:shelljs', '0.7.6')
('npm:fs-extra', '2.1.2')
('npm:backo2', '1.0.2')
('npm:mz', '2.7.0')
('npm:strip-dirs', '1.1.1')
('npm:es6-symbol', '3.1.0')
('npm:logalot', '2.1.0')
('npm:require-directory', '2.1.1')
('npm:object.omit', '2.0.1')
('npm:enhanced-resolve', '3.1.0')
('npm:form-data', '2.3.3')
('npm:glob', '7.0.5')
('npm:wrap-ansi', '5.1.0')
('npm:rimraf', '2.4.5')
('npm:hosted-git-info', '2.4.1')
('npm:watchpack-chokidar2', '2.0.0')
('npm:is-symbol', '1.0.3')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:mixin-deep', '1.3.2')
('npm:is-property', '1.0.2')
('npm:postcss-colormin', '2.2.2')
('npm:url', '0.11.0')
('npm:d3-scale', '1.0.4')
('npm:is-utf8', '0.2.1')
('npm:sinon', '2.1.0')
('npm:randombytes', '2.1.0')
('npm:glob-stream', '5.3.5')
('npm:escape-html', '1.0.3')
('npm:lodash._basecreate', '3.0.3')
('npm:json-schema-traverse', '0.4.1')
('npm:object-inspect', '1.8.0')
('npm:callsites', '0.2.0')
('npm:bin-check', '2.0.0')
('npm:elliptic', '6.4.0')
('npm:encodeurl', '1.0.2')
('npm:yargs-parser', '4.2.1')
('npm:rx-lite', '3.1.2')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:require-relative', '0.8.7')
