,Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,ANS,Validated files,IaC_tools
149,zavada-sergey_TradeUnionCommittee.Web.App,https://github.com/zavada-sergey/TradeUnionCommittee.Web.App,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
150,CodelyTV_php-ddd-example,https://github.com/CodelyTV/php-ddd-example,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
151,interlay_polkabtc-js,https://github.com/interlay/polkabtc-js,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
152,FudanSELab_train-ticket,https://github.com/FudanSELab/train-ticket,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
153,bcgov_von-bc-registries,https://github.com/bcgov/von-bc-registries,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
154,Donders-Institute_streamer,https://github.com/Donders-Institute/streamer,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
155,networknt_light-config-test,https://github.com/networknt/light-config-test,0,0,0,0,0,0,0,0,1,0,0,1,1,,"DOCK, KUB, ANS"
156,dojot_docker-compose,https://github.com/dojot/docker-compose,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
157,sagikazarmark_modern-go-application,https://github.com/sagikazarmark/modern-go-application,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
158,Cingulara_openrmf-docs,https://github.com/Cingulara/openrmf-docs,0,0,0,0,0,0,0,0,1,0,0,1,1,,"DOCK, KUB, ANS"
159,OpenCodeFoundation_eSchool,https://github.com/OpenCodeFoundation/eSchool,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
160,sflpro_notifier,https://github.com/sflpro/notifier,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
161,Netflix_mantis,https://github.com/Netflix/mantis,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
162,SasanLabs_VulnerableApp,https://github.com/SasanLabs/VulnerableApp,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
163,barcus_bareos,https://github.com/barcus/bareos,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
164,opensanca_opensanca_jobs,https://github.com/opensanca/opensanca_jobs,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
165,ivanpaulovich_clean-architecture-manga,https://github.com/ivanpaulovich/clean-architecture-manga,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
166,StackStorm_st2-docker,https://github.com/StackStorm/st2-docker,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
167,big-data-europe_docker-hadoop,https://github.com/big-data-europe/docker-hadoop,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
168,microsoft_kafka-connect-cosmosdb,https://github.com/microsoft/kafka-connect-cosmosdb,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
